"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 24 08:41:50 GMT 2023","Fri Feb 24 08:41:50 GMT 2023","22","","CalculatorTest","","CalculatorTest","testSum","Sum test with positive values",""
"failed","Fri Feb 24 08:41:50 GMT 2023","Fri Feb 24 08:41:50 GMT 2023","4","","CalculatorTest","","CalculatorTest","testSumWithNegativeValues","testSumWithNegativeValues()",""
