"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 23 05:05:51 GMT 2023","Thu Feb 23 05:05:51 GMT 2023","4","","CalculatorTest","","CalculatorTest","testSumWithNegativeValues","testSumWithNegativeValues()",""
"passed","Thu Feb 23 05:05:51 GMT 2023","Thu Feb 23 05:05:51 GMT 2023","20","","CalculatorTest","","CalculatorTest","testSum","Sum test with positive values",""
